date,last,open,max,min,vol,percent
24.12.2019,284.28,284.46,284.87,282.93,10.03M,0.10%
23.12.2019,284.00,280.48,284.25,280.48,24.68M,1.63%
20.12.2019,279.44,282.23,282.65,278.56,69.03M,-0.21%
19.12.2019,280.02,279.50,281.18,278.95,24.63M,0.10%
18.12.2019,279.74,279.80,281.90,279.12,29.02M,-0.24%
17.12.2019,280.41,279.57,281.77,278.80,28.58M,0.20%
16.12.2019,279.86,277.00,280.79,276.98,32.08M,1.71%
13.12.2019,275.15,271.46,275.30,270.93,33.43M,1.36%
12.12.2019,271.46,267.78,272.56,267.32,34.44M,0.25%
11.12.2019,270.77,268.81,271.10,268.50,19.72M,0.85%
10.12.2019,268.48,268.60,270.07,265.86,22.63M,0.58%
09.12.2019,266.92,270.00,270.80,264.91,32.18M,-1.40%
06.12.2019,270.71,267.48,271.00,267.30,26.55M,1.93%
05.12.2019,265.58,263.79,265.89,262.73,18.66M,1.47%
04.12.2019,261.74,261.07,263.31,260.68,16.81M,0.88%
03.12.2019,259.45,258.31,259.53,256.29,29.38M,-1.78%
02.12.2019,264.16,267.27,268.25,263.45,23.69M,-1.16%
29.11.2019,267.25,266.60,268.00,265.90,11.65M,-0.22%
27.11.2019,267.84,265.58,267.98,265.31,16.39M,1.34%
26.11.2019,264.29,266.94,267.01,264.29,24.79M,-0.78%
25.11.2019,266.37,262.66,266.37,262.66,21.03M,1.75%
22.11.2019,261.78,262.59,263.18,260.84,16.33M,-0.09%
21.11.2019,262.01,263.69,264.00,261.18,30.35M,-0.45%
20.11.2019,263.19,265.54,266.08,260.40,26.61M,-1.16%
19.11.2019,266.29,267.90,268.00,265.39,19.07M,-0.30%
18.11.2019,267.10,265.80,267.43,264.23,21.70M,0.50%
15.11.2019,265.76,263.68,265.78,263.01,25.09M,1.19%
14.11.2019,262.64,263.75,264.88,262.10,22.40M,-0.69%
13.11.2019,264.47,261.13,264.78,261.07,25.82M,0.96%
12.11.2019,261.96,261.55,262.79,260.92,21.85M,-0.09%
11.11.2019,262.20,258.30,262.47,258.28,20.51M,0.79%
08.11.2019,260.14,258.69,260.44,256.85,17.52M,0.27%
07.11.2019,259.43,258.74,260.35,258.11,23.74M,0.85%
06.11.2019,257.24,256.77,257.49,255.37,18.97M,0.04%
05.11.2019,257.13,257.05,258.19,256.32,19.97M,-0.14%
04.11.2019,257.50,257.33,257.85,255.38,25.82M,0.66%
01.11.2019,255.82,249.54,255.93,249.16,37.78M,2.84%
31.10.2019,248.76,247.24,249.17,237.26,34.79M,2.26%
30.10.2019,243.26,244.76,245.30,241.21,31.13M,-0.01%
29.10.2019,243.29,248.97,249.75,242.57,35.71M,-2.31%
28.10.2019,249.05,247.42,249.25,246.72,24.14M,1.00%
25.10.2019,246.58,243.16,246.73,242.88,18.37M,1.23%
24.10.2019,243.58,244.51,244.80,241.81,17.92M,0.16%
23.10.2019,243.18,242.10,243.24,241.22,19.93M,1.34%
22.10.2019,239.96,241.16,242.20,239.62,22.68M,-0.23%
21.10.2019,240.51,237.52,240.99,237.32,22.37M,1.73%
18.10.2019,236.41,234.59,237.58,234.29,24.38M,0.48%
17.10.2019,235.28,235.09,236.15,233.52,17.27M,0.39%
16.10.2019,234.37,233.37,235.24,233.20,19.29M,-0.40%
15.10.2019,235.32,236.39,237.65,234.88,23.04M,-0.23%
14.10.2019,235.87,234.90,238.13,234.67,24.41M,-0.14%
11.10.2019,236.21,232.95,237.64,232.31,41.99M,2.66%
10.10.2019,230.09,227.93,230.44,227.30,28.96M,1.35%
09.10.2019,227.03,227.03,227.79,225.64,19.03M,1.17%
08.10.2019,224.40,225.82,228.06,224.33,29.28M,-1.17%
07.10.2019,227.06,226.27,229.93,225.84,30.89M,0.02%
04.10.2019,227.01,225.64,227.49,223.89,34.76M,2.80%
03.10.2019,220.82,218.43,220.96,215.13,30.35M,0.85%
02.10.2019,218.96,223.06,223.58,217.93,35.77M,-2.51%
01.10.2019,224.59,225.07,228.22,224.20,36.19M,0.28%
30.09.2019,223.97,220.90,224.58,220.79,26.32M,2.35%
27.09.2019,218.82,220.54,220.96,217.28,25.36M,-0.49%
26.09.2019,219.89,220.00,220.94,218.83,19.09M,-0.52%
25.09.2019,221.03,218.55,221.50,217.14,22.48M,1.54%
24.09.2019,217.68,221.03,222.49,217.19,31.43M,-0.48%
23.09.2019,218.72,218.95,219.84,217.65,19.42M,0.45%
20.09.2019,217.73,221.38,222.56,217.47,57.98M,-1.46%
19.09.2019,220.96,222.01,223.76,220.37,22.19M,-0.81%
18.09.2019,222.77,221.06,222.85,219.44,25.64M,0.94%
17.09.2019,220.70,219.96,220.82,219.12,18.39M,0.36%
16.09.2019,219.90,217.73,220.13,217.56,21.16M,0.53%
13.09.2019,218.75,220.00,220.79,217.02,39.76M,-1.95%
12.09.2019,223.09,224.80,226.42,222.86,32.23M,-0.22%
11.09.2019,223.59,218.07,223.71,217.73,44.29M,3.18%
10.09.2019,216.70,213.86,216.78,211.71,31.78M,1.18%
09.09.2019,214.17,214.84,216.44,211.07,27.31M,0.43%
06.09.2019,213.26,214.05,214.42,212.51,19.36M,-0.01%
05.09.2019,213.28,212.00,213.97,211.51,23.95M,1.96%
04.09.2019,209.19,208.39,209.48,207.32,19.22M,1.70%
03.09.2019,205.70,206.43,206.98,204.22,20.06M,-1.46%
30.08.2019,208.74,210.16,210.45,207.20,21.16M,-0.13%
29.08.2019,209.01,208.50,209.32,206.66,21.01M,1.69%
28.08.2019,205.53,204.10,205.72,203.32,15.96M,0.67%
27.08.2019,204.16,207.86,208.55,203.53,25.90M,-1.13%
26.08.2019,206.49,205.86,207.19,205.06,26.07M,1.90%
23.08.2019,202.64,209.43,212.05,201.00,46.88M,-4.62%
22.08.2019,212.46,213.19,214.44,210.75,22.27M,-0.08%
21.08.2019,212.64,212.99,213.65,211.60,21.56M,1.08%
20.08.2019,210.36,210.88,213.35,210.32,26.92M,0.00%
19.08.2019,210.35,210.62,212.73,210.03,24.43M,1.86%
16.08.2019,206.50,204.28,207.16,203.84,28.81M,2.36%
15.08.2019,201.74,203.46,205.14,199.67,27.88M,-0.50%
14.08.2019,202.75,203.16,206.44,202.59,36.55M,-2.98%
13.08.2019,208.97,201.02,212.14,200.83,47.54M,4.23%
12.08.2019,200.48,199.62,202.05,199.15,22.48M,-0.25%
09.08.2019,200.99,201.30,202.76,199.29,24.62M,-1.20%
08.08.2019,203.43,200.20,203.53,199.39,27.01M,2.21%
07.08.2019,199.04,195.41,199.56,193.82,33.36M,1.04%
06.08.2019,197.00,196.31,198.07,194.04,35.82M,1.89%
05.08.2019,193.34,197.99,198.65,192.58,52.39M,-5.23%
02.08.2019,204.02,205.53,206.43,201.63,40.86M,-2.12%
01.08.2019,208.43,213.90,218.03,206.74,54.02M,-2.16%
